id,display_name,center_id,center_name,region_id,employment_type,tenure_years,weekly_capacity,active_clients,utilization_rate,supervisor_eligible,training_completion_rate,primary_specialty
CNS-SEO-00033,상담사 SEO-04,CTR-SEO-004,용산구 가족센터,SEO,위촉,1.3,3,6,81.4,False,100,부모-자녀 갈등
CNS-SEO-00034,상담사 SEO-05,CTR-SEO-004,용산구 가족센터,SEO,위촉,9.3,3,10,74.8,False,91.5,이혼 전후
CNS-SEO-00035,상담사 SEO-06,CTR-SEO-004,용산구 가족센터,SEO,위촉,7.8,3,7,67.3,False,84.0,부부갈등
CNS-SEO-00036,상담사 SEO-07,CTR-SEO-004,용산구 가족센터,SEO,위촉,4.3,3,7,69.6,False,79.5,기타 가족관계
CNS-SEO-00037,상담사 SEO-08,CTR-SEO-004,용산구 가족센터,SEO,위촉,4.8,3,10,63.4,False,100,개인 정서·위기
CNS-SEO-00038,상담사 SEO-01,CTR-SEO-005,성동구 가족센터,SEO,상근,5.5,6,13,63.1,False,96.0,이혼 전후
CNS-SEO-00039,상담사 SEO-02,CTR-SEO-005,성동구 가족센터,SEO,상근,3.2,6,14,70.6,False,95.9,부부갈등
CNS-SEO-00040,상담사 SEO-03,CTR-SEO-005,성동구 가족센터,SEO,위촉,6.9,3,9,58.0,False,82.7,기타 가족관계
CNS-SEO-00041,상담사 SEO-04,CTR-SEO-005,성동구 가족센터,SEO,위촉,7.2,3,10,60.0,False,90.8,개인 정서·위기
CNS-SEO-00042,상담사 SEO-05,CTR-SEO-005,성동구 가족센터,SEO,위촉,9.5,3,5,78.4,False,97.2,부모-자녀 갈등
CNS-SEO-00043,상담사 SEO-06,CTR-SEO-005,성동구 가족센터,SEO,위촉,9.5,3,6,76.9,True,89.7,이혼 전후
CNS-SEO-00044,상담사 SEO-07,CTR-SEO-005,성동구 가족센터,SEO,위촉,8.0,3,8,69.3,True,98.0,부부갈등
CNS-SEO-00045,상담사 SEO-08,CTR-SEO-005,성동구 가족센터,SEO,위촉,4.6,3,9,70.0,False,85.8,기타 가족관계
CNS-SEO-00046,상담사 SEO-09,CTR-SEO-005,성동구 가족센터,SEO,위촉,7.4,3,7,73.1,False,79.5,개인 정서·위기
CNS-SEO-00047,상담사 SEO-10,CTR-SEO-005,성동구 가족센터,SEO,위촉,3.7,3,8,94.4,False,99.1,부모-자녀 갈등
CNS-SEO-00048,상담사 SEO-01,CTR-SEO-006,광진구 가족센터,SEO,상근,6.0,6,11,74.1,False,93.7,이혼 전후
CNS-SEO-00049,상담사 SEO-02,CTR-SEO-006,광진구 가족센터,SEO,상근,4.8,6,8,69.5,False,84.5,부부갈등
CNS-SEO-00050,상담사 SEO-03,CTR-SEO-006,광진구 가족센터,SEO,위촉,11.2,3,3,47.7,False,85.3,기타 가족관계
CNS-SEO-00051,상담사 SEO-04,CTR-SEO-006,광진구 가족센터,SEO,위촉,8.2,3,8,64.3,True,92.9,개인 정서·위기
CNS-SEO-00052,상담사 SEO-05,CTR-SEO-006,광진구 가족센터,SEO,위촉,2.9,3,9,74.9,False,80.4,부모-자녀 갈등
CNS-SEO-00053,상담사 SEO-06,CTR-SEO-006,광진구 가족센터,SEO,위촉,6.1,3,12,68.3,False,89.4,이혼 전후
CNS-SEO-00054,상담사 SEO-07,CTR-SEO-006,광진구 가족센터,SEO,위촉,4.0,3,7,84.7,False,74.4,부부갈등
CNS-SEO-00055,상담사 SEO-08,CTR-SEO-006,광진구 가족센터,SEO,위촉,2.9,3,7,78.9,False,88.3,기타 가족관계
CNS-SEO-00056,상담사 SEO-09,CTR-SEO-006,광진구 가족센터,SEO,위촉,6.0,3,6,76.7,False,94.0,개인 정서·위기
CNS-SEO-00057,상담사 SEO-01,CTR-SEO-007,동대문구 가족센터,SEO,상근,9.7,6,15,69.4,True,84.7,기타 가족관계
CNS-SEO-00058,상담사 SEO-02,CTR-SEO-007,동대문구 가족센터,SEO,상근,3.9,6,11,76.0,False,88.6,개인 정서·위기
CNS-SEO-00059,상담사 SEO-03,CTR-SEO-007,동대문구 가족센터,SEO,위촉,5.8,3,6,65.6,False,79.2,부모-자녀 갈등
CNS-SEO-00060,상담사 SEO-04,CTR-SEO-007,동대문구 가족센터,SEO,위촉,8.8,3,3,52.7,True,86.6,이혼 전후
CNS-SEO-00061,상담사 SEO-05,CTR-SEO-007,동대문구 가족센터,SEO,위촉,3.1,3,9,61.5,False,82.8,부부갈등
CNS-SEO-00062,상담사 SEO-06,CTR-SEO-007,동대문구 가족센터,SEO,위촉,6.6,3,5,70.6,False,85.1,기타 가족관계
CNS-SEO-00063,상담사 SEO-07,CTR-SEO-007,동대문구 가족센터,SEO,위촉,2.2,3,8,60.4,False,94.0,개인 정서·위기
CNS-SEO-00064,상담사 SEO-08,CTR-SEO-007,동대문구 가족센터,SEO,위촉,9.1,3,9,66.8,True,83.6,부모-자녀 갈등
CNS-SEO-00065,상담사 SEO-01,CTR-SEO-008,중랑구 가족센터,SEO,상근,2.4,6,13,60.3,False,95.6,부부갈등
CNS-SEO-00066,상담사 SEO-02,CTR-SEO-008,중랑구 가족센터,SEO,상근,4.8,6,12,59.6,False,70.5,기타 가족관계
CNS-SEO-00067,상담사 SEO-03,CTR-SEO-008,중랑구 가족센터,SEO,위촉,8.6,3,7,53.3,False,83.4,개인 정서·위기
CNS-SEO-00068,상담사 SEO-04,CTR-SEO-008,중랑구 가족센터,SEO,위촉,6.7,3,10,81.2,False,94.3,부모-자녀 갈등
CNS-SEO-00069,상담사 SEO-05,CTR-SEO-008,중랑구 가족센터,SEO,위촉,2.2,3,14,78.9,False,81.8,이혼 전후
CNS-SEO-00070,상담사 SEO-06,CTR-SEO-008,중랑구 가족센터,SEO,위촉,4.6,3,7,76.0,False,82.1,부부갈등
CNS-SEO-00071,상담사 SEO-07,CTR-SEO-008,중랑구 가족센터,SEO,위촉,3.8,3,8,87.3,False,85.8,기타 가족관계
CNS-SEO-00072,상담사 SEO-08,CTR-SEO-008,중랑구 가족센터,SEO,위촉,3.8,3,8,69.9,False,92.8,개인 정서·위기
CNS-SEO-00073,상담사 SEO-01,CTR-SEO-009,성북구 가족센터,SEO,상근,11.3,6,9,68.0,False,78.6,이혼 전후
CNS-SEO-00074,상담사 SEO-02,CTR-SEO-009,성북구 가족센터,SEO,상근,8.0,6,14,60.6,True,99.6,부부갈등
CNS-SEO-00075,상담사 SEO-03,CTR-SEO-009,성북구 가족센터,SEO,위촉,7.8,3,8,71.8,False,85.7,기타 가족관계
CNS-SEO-00076,상담사 SEO-04,CTR-SEO-009,성북구 가족센터,SEO,위촉,1.0,3,5,77.1,False,76.8,개인 정서·위기
CNS-SEO-00077,상담사 SEO-05,CTR-SEO-009,성북구 가족센터,SEO,위촉,8.9,3,10,58.5,True,76.9,부모-자녀 갈등
CNS-SEO-00078,상담사 SEO-06,CTR-SEO-009,성북구 가족센터,SEO,위촉,6.2,3,7,71.0,False,95.1,이혼 전후
CNS-SEO-00079,상담사 SEO-07,CTR-SEO-009,성북구 가족센터,SEO,위촉,5.7,3,4,81.9,False,88.9,부부갈등
CNS-SEO-00080,상담사 SEO-01,CTR-SEO-010,강북구 가족센터,SEO,상근,4.1,6,15,73.1,False,78.8,부부갈등
CNS-SEO-00081,상담사 SEO-02,CTR-SEO-010,강북구 가족센터,SEO,상근,4.1,6,8,84.2,False,78.8,기타 가족관계
CNS-SEO-00082,상담사 SEO-03,CTR-SEO-010,강북구 가족센터,SEO,위촉,2.2,3,7,62.9,False,82.7,개인 정서·위기
CNS-SEO-00083,상담사 SEO-04,CTR-SEO-010,강북구 가족센터,SEO,위촉,4.1,3,8,67.3,False,93.0,부모-자녀 갈등
CNS-SEO-00084,상담사 SEO-05,CTR-SEO-010,강북구 가족센터,SEO,위촉,4.4,3,9,60.9,False,89.5,이혼 전후
CNS-SEO-00085,상담사 SEO-06,CTR-SEO-010,강북구 가족센터,SEO,위촉,11.9,3,8,83.7,False,90.7,부부갈등
CNS-SEO-00086,상담사 SEO-07,CTR-SEO-010,강북구 가족센터,SEO,위촉,6.4,3,7,77.2,False,79.3,기타 가족관계
CNS-SEO-00087,상담사 SEO-08,CTR-SEO-010,강북구 가족센터,SEO,위촉,4.1,3,8,71.2,False,96.9,개인 정서·위기
CNS-SEO-00088,상담사 SEO-09,CTR-SEO-010,강북구 가족센터,SEO,위촉,0.3,3,7,79.1,False,82.3,부모-자녀 갈등
CNS-SEO-00089,상담사 SEO-01,CTR-SEO-011,도봉구 가족센터,SEO,상근,5.8,6,15,75.0,False,81.6,개인 정서·위기
CNS-SEO-00090,상담사 SEO-02,CTR-SEO-011,도봉구 가족센터,SEO,상근,5.0,6,16,73.8,False,84.1,부모-자녀 갈등
CNS-SEO-00091,상담사 SEO-03,CTR-SEO-011,도봉구 가족센터,SEO,위촉,6.1,3,8,68.7,False,94.5,이혼 전후
CNS-SEO-00092,상담사 SEO-04,CTR-SEO-011,도봉구 가족센터,SEO,위촉,6.5,3,10,57.3,False,91.6,부부갈등
CNS-SEO-00093,상담사 SEO-05,CTR-SEO-011,도봉구 가족센터,SEO,위촉,6.9,3,10,73.1,False,96.1,기타 가족관계
CNS-SEO-00094,상담사 SEO-06,CTR-SEO-011,도봉구 가족센터,SEO,위촉,7.1,3,10,72.5,False,92.2,개인 정서·위기
CNS-SEO-00095,상담사 SEO-07,CTR-SEO-011,도봉구 가족센터,SEO,위촉,7.6,3,5,66.5,False,84.0,부모-자녀 갈등
CNS-SEO-00096,상담사 SEO-08,CTR-SEO-011,도봉구 가족센터,SEO,위촉,1.6,3,7,73.9,False,85.5,이혼 전후
CNS-SEO-00097,상담사 SEO-01,CTR-SEO-012,노원구 가족센터,SEO,상근,0.3,6,12,74.6,False,100.0,기타 가족관계
CNS-SEO-00098,상담사 SEO-02,CTR-SEO-012,노원구 가족센터,SEO,상근,0.5,6,14,83.6,False,88.8,개인 정서·위기
CNS-SEO-00099,상담사 SEO-03,CTR-SEO-012,노원구 가족센터,SEO,위촉,0.3,3,7,90.2,False,85.5,부모-자녀 갈등
CNS-SEO-00100,상담사 SEO-04,CTR-SEO-012,노원구 가족센터,SEO,위촉,4.6,3,7,80.4,False,91.1,이혼 전후
CNS-SEO-00101,상담사 SEO-05,CTR-SEO-012,노원구 가족센터,SEO,위촉,2.8,3,8,51.4,False,77.6,부부갈등
CNS-SEO-00102,상담사 SEO-06,CTR-SEO-012,노원구 가족센터,SEO,위촉,8.6,3,7,81.0,True,96.4,기타 가족관계
CNS-SEO-00103,상담사 SEO-07,CTR-SEO-012,노원구 가족센터,SEO,위촉,2.8,3,3,81.7,False,90.7,개인 정서·위기
CNS-SEO-00104,상담사 SEO-08,CTR-SEO-012,노원구 가족센터,SEO,위촉,7.4,3,7,75.2,False,100,부모-자녀 갈등
CNS-SEO-00105,상담사 SEO-09,CTR-SEO-012,노원구 가족센터,SEO,위촉,5.0,3,7,55.1,False,81.1,이혼 전후
CNS-SEO-00106,상담사 SEO-01,CTR-SEO-013,은평구 가족센터,SEO,상근,1.0,6,12,74.2,False,88.6,부모-자녀 갈등
CNS-SEO-00107,상담사 SEO-02,CTR-SEO-013,은평구 가족센터,SEO,상근,7.9,6,11,72.6,False,95.0,이혼 전후
CNS-SEO-00108,상담사 SEO-03,CTR-SEO-013,은평구 가족센터,SEO,위촉,10.1,3,9,77.1,False,84.5,부부갈등
CNS-SEO-00109,상담사 SEO-04,CTR-SEO-013,은평구 가족센터,SEO,위촉,2.2,3,9,80.4,False,100,기타 가족관계
CNS-SEO-00110,상담사 SEO-05,CTR-SEO-013,은평구 가족센터,SEO,위촉,6.8,3,6,58.4,False,63.0,개인 정서·위기
CNS-SEO-00111,상담사 SEO-06,CTR-SEO-013,은평구 가족센터,SEO,위촉,10.3,3,6,61.4,True,71.4,부모-자녀 갈등
CNS-SEO-00112,상담사 SEO-07,CTR-SEO-013,은평구 가족센터,SEO,위촉,3.1,3,7,73.6,False,93.8,이혼 전후
CNS-SEO-00113,상담사 SEO-08,CTR-SEO-013,은평구 가족센터,SEO,위촉,3.5,3,9,69.9,False,74.1,부부갈등
CNS-SEO-00114,상담사 SEO-09,CTR-SEO-013,은평구 가족센터,SEO,위촉,0.3,3,8,73.7,False,92.3,기타 가족관계
CNS-SEO-00115,상담사 SEO-01,CTR-SEO-014,서대문구 가족센터,SEO,상근,11.9,6,10,76.7,True,79.3,부부갈등
CNS-SEO-00116,상담사 SEO-02,CTR-SEO-014,서대문구 가족센터,SEO,상근,2.7,6,8,68.9,False,78.8,기타 가족관계
CNS-SEO-00117,상담사 SEO-03,CTR-SEO-014,서대문구 가족센터,SEO,위촉,2.8,3,7,64.3,False,94.6,개인 정서·위기
CNS-SEO-00118,상담사 SEO-04,CTR-SEO-014,서대문구 가족센터,SEO,위촉,6.3,3,9,79.2,False,90.9,부모-자녀 갈등
CNS-SEO-00119,상담사 SEO-05,CTR-SEO-014,서대문구 가족센터,SEO,위촉,6.2,3,3,77.0,False,93.5,이혼 전후
CNS-SEO-00120,상담사 SEO-06,CTR-SEO-014,서대문구 가족센터,SEO,위촉,10.6,3,8,65.2,True,81.4,부부갈등
CNS-SEO-00121,상담사 SEO-07,CTR-SEO-014,서대문구 가족센터,SEO,위촉,11.8,3,4,86.8,False,88.2,기타 가족관계
CNS-SEO-00122,상담사 SEO-08,CTR-SEO-014,서대문구 가족센터,SEO,위촉,7.7,3,5,67.2,False,95.2,개인 정서·위기
CNS-SEO-00123,상담사 SEO-01,CTR-SEO-015,마포구 가족센터,SEO,상근,3.0,6,11,78.4,False,84.9,이혼 전후
CNS-SEO-00124,상담사 SEO-02,CTR-SEO-015,마포구 가족센터,SEO,상근,5.4,6,9,73.0,False,92.2,부부갈등
CNS-SEO-00125,상담사 SEO-03,CTR-SEO-015,마포구 가족센터,SEO,위촉,3.8,3,4,72.5,False,80.5,기타 가족관계
CNS-SEO-00126,상담사 SEO-04,CTR-SEO-015,마포구 가족센터,SEO,위촉,7.2,3,10,57.3,False,94.4,개인 정서·위기
CNS-SEO-00127,상담사 SEO-05,CTR-SEO-015,마포구 가족센터,SEO,위촉,5.0,3,10,56.4,False,86.3,부모-자녀 갈등
CNS-SEO-00128,상담사 SEO-06,CTR-SEO-015,마포구 가족센터,SEO,위촉,4.0,3,3,61.1,False,98.3,이혼 전후
CNS-SEO-00129,상담사 SEO-07,CTR-SEO-015,마포구 가족센터,SEO,위촉,3.6,3,9,65.9,False,89.6,부부갈등
CNS-SEO-00130,상담사 SEO-08,CTR-SEO-015,마포구 가족센터,SEO,위촉,9.6,3,5,82.4,False,98.7,기타 가족관계
CNS-SEO-00131,상담사 SEO-01,CTR-SEO-016,양천구 가족센터,SEO,상근,5.2,6,10,64.3,False,86.6,부모-자녀 갈등
CNS-SEO-00132,상담사 SEO-02,CTR-SEO-016,양천구 가족센터,SEO,상근,0.3,6,11,64.9,False,92.1,이혼 전후
CNS-SEO-00133,상담사 SEO-03,CTR-SEO-016,양천구 가족센터,SEO,위촉,5.8,3,11,81.8,False,98.1,부부갈등
CNS-SEO-00134,상담사 SEO-04,CTR-SEO-016,양천구 가족센터,SEO,위촉,8.7,3,5,81.5,True,82.8,기타 가족관계
CNS-SEO-00135,상담사 SEO-05,CTR-SEO-016,양천구 가족센터,SEO,위촉,3.3,3,6,58.4,False,74.6,개인 정서·위기
CNS-SEO-00136,상담사 SEO-06,CTR-SEO-016,양천구 가족센터,SEO,위촉,10.8,3,3,76.1,False,90.2,부모-자녀 갈등
CNS-SEO-00137,상담사 SEO-07,CTR-SEO-016,양천구 가족센터,SEO,위촉,5.1,3,9,66.3,False,84.1,이혼 전후
CNS-SEO-00138,상담사 SEO-08,CTR-SEO-016,양천구 가족센터,SEO,위촉,11.1,3,11,62.0,True,100,부부갈등
CNS-SEO-00139,상담사 SEO-01,CTR-SEO-017,강서구 가족센터,SEO,상근,3.9,6,13,80.4,False,96.9,개인 정서·위기
CNS-SEO-00140,상담사 SEO-02,CTR-SEO-017,강서구 가족센터,SEO,상근,7.1,6,14,72.6,False,91.7,부모-자녀 갈등
CNS-SEO-00141,상담사 SEO-03,CTR-SEO-017,강서구 가족센터,SEO,위촉,3.8,3,10,94.1,False,93.7,이혼 전후
CNS-SEO-00142,상담사 SEO-04,CTR-SEO-017,강서구 가족센터,SEO,위촉,5.9,3,7,73.9,False,93.2,부부갈등
CNS-SEO-00143,상담사 SEO-05,CTR-SEO-017,강서구 가족센터,SEO,위촉,7.8,3,8,57.7,False,82.5,기타 가족관계
CNS-SEO-00144,상담사 SEO-06,CTR-SEO-017,강서구 가족센터,SEO,위촉,3.9,3,7,79.5,False,92.5,개인 정서·위기
CNS-SEO-00145,상담사 SEO-07,CTR-SEO-017,강서구 가족센터,SEO,위촉,3.1,3,5,74.6,False,79.5,부모-자녀 갈등
CNS-SEO-00146,상담사 SEO-08,CTR-SEO-017,강서구 가족센터,SEO,위촉,5.5,3,10,69.3,False,96.3,이혼 전후
CNS-SEO-00147,상담사 SEO-09,CTR-SEO-017,강서구 가족센터,SEO,위촉,3.0,3,7,69.8,False,90.1,부부갈등
CNS-SEO-00148,상담사 SEO-01,CTR-SEO-018,구로구 가족센터,SEO,상근,5.8,6,10,43.0,False,71.2,이혼 전후
CNS-SEO-00149,상담사 SEO-02,CTR-SEO-018,구로구 가족센터,SEO,상근,1.8,6,14,81.5,False,86.9,부부갈등
CNS-SEO-00150,상담사 SEO-03,CTR-SEO-018,구로구 가족센터,SEO,위촉,4.9,3,5,73.5,False,86.8,기타 가족관계
CNS-SEO-00151,상담사 SEO-04,CTR-SEO-018,구로구 가족센터,SEO,위촉,6.2,3,8,81.0,False,100,개인 정서·위기
CNS-SEO-00152,상담사 SEO-05,CTR-SEO-018,구로구 가족센터,SEO,위촉,7.4,3,8,66.2,False,96.6,부모-자녀 갈등
CNS-SEO-00153,상담사 SEO-06,CTR-SEO-018,구로구 가족센터,SEO,위촉,6.1,3,7,67.2,False,88.3,이혼 전후
CNS-SEO-00154,상담사 SEO-07,CTR-SEO-018,구로구 가족센터,SEO,위촉,5.6,3,9,72.9,False,86.4,부부갈등
CNS-SEO-00155,상담사 SEO-08,CTR-SEO-018,구로구 가족센터,SEO,위촉,9.0,3,9,84.5,True,86.8,기타 가족관계
CNS-SEO-00156,상담사 SEO-09,CTR-SEO-018,구로구 가족센터,SEO,위촉,5.1,3,8,81.2,False,81.9,개인 정서·위기
CNS-SEO-00157,상담사 SEO-01,CTR-SEO-019,금천구 가족센터,SEO,상근,4.7,6,15,38.7,False,87.3,기타 가족관계
CNS-SEO-00158,상담사 SEO-02,CTR-SEO-019,금천구 가족센터,SEO,상근,3.1,6,12,60.2,False,74.0,개인 정서·위기
CNS-SEO-00159,상담사 SEO-03,CTR-SEO-019,금천구 가족센터,SEO,위촉,8.1,3,9,67.6,False,81.1,부모-자녀 갈등
CNS-SEO-00160,상담사 SEO-04,CTR-SEO-019,금천구 가족센터,SEO,위촉,7.0,3,5,59.7,False,83.1,이혼 전후
CNS-SEO-00161,상담사 SEO-05,CTR-SEO-019,금천구 가족센터,SEO,위촉,5.0,3,9,71.7,False,91.8,부부갈등
CNS-SEO-00162,상담사 SEO-06,CTR-SEO-019,금천구 가족센터,SEO,위촉,4.9,3,8,63.7,False,88.8,기타 가족관계
CNS-SEO-00163,상담사 SEO-07,CTR-SEO-019,금천구 가족센터,SEO,위촉,9.2,3,4,60.6,True,82.0,개인 정서·위기
CNS-SEO-00164,상담사 SEO-08,CTR-SEO-019,금천구 가족센터,SEO,위촉,6.6,3,3,73.2,False,96.4,부모-자녀 갈등
CNS-SEO-00165,상담사 SEO-09,CTR-SEO-019,금천구 가족센터,SEO,위촉,3.3,3,12,73.6,False,94.3,이혼 전후
CNS-SEO-00166,상담사 SEO-01,CTR-SEO-020,영등포구 가족센터,SEO,상근,5.4,6,14,66.7,False,97.1,부모-자녀 갈등
CNS-SEO-00167,상담사 SEO-02,CTR-SEO-020,영등포구 가족센터,SEO,상근,0.3,6,9,77.2,False,90.1,이혼 전후
CNS-SEO-00168,상담사 SEO-03,CTR-SEO-020,영등포구 가족센터,SEO,위촉,7.5,3,4,65.1,False,100,부부갈등
CNS-SEO-00169,상담사 SEO-04,CTR-SEO-020,영등포구 가족센터,SEO,위촉,6.0,3,6,69.4,False,99.2,기타 가족관계
CNS-SEO-00170,상담사 SEO-05,CTR-SEO-020,영등포구 가족센터,SEO,위촉,5.8,3,8,72.4,False,88.3,개인 정서·위기
CNS-SEO-00171,상담사 SEO-06,CTR-SEO-020,영등포구 가족센터,SEO,위촉,2.4,3,8,66.5,False,94.1,부모-자녀 갈등
CNS-SEO-00172,상담사 SEO-07,CTR-SEO-020,영등포구 가족센터,SEO,위촉,6.4,3,5,79.8,False,78.4,이혼 전후
CNS-SEO-00173,상담사 SEO-08,CTR-SEO-020,영등포구 가족센터,SEO,위촉,10.3,3,3,98,False,100,부부갈등
CNS-SEO-00174,상담사 SEO-09,CTR-SEO-020,영등포구 가족센터,SEO,위촉,9.4,3,6,60.8,True,90.4,기타 가족관계
CNS-SEO-00175,상담사 SEO-01,CTR-SEO-021,동작구 가족센터,SEO,상근,5.5,6,11,59.4,False,80.7,부부갈등
CNS-SEO-00176,상담사 SEO-02,CTR-SEO-021,동작구 가족센터,SEO,상근,3.8,6,12,73.6,False,79.0,기타 가족관계
CNS-SEO-00177,상담사 SEO-03,CTR-SEO-021,동작구 가족센터,SEO,위촉,3.6,3,9,60.7,False,78.1,개인 정서·위기
CNS-SEO-00178,상담사 SEO-04,CTR-SEO-021,동작구 가족센터,SEO,위촉,1.6,3,6,75.1,False,72.4,부모-자녀 갈등
CNS-SEO-00179,상담사 SEO-05,CTR-SEO-021,동작구 가족센터,SEO,위촉,6.1,3,10,91.3,False,92.7,이혼 전후
CNS-SEO-00180,상담사 SEO-06,CTR-SEO-021,동작구 가족센터,SEO,위촉,5.6,3,5,56.4,False,75.9,부부갈등
CNS-SEO-00181,상담사 SEO-07,CTR-SEO-021,동작구 가족센터,SEO,위촉,5.3,3,6,83.2,False,63.9,기타 가족관계
CNS-SEO-00182,상담사 SEO-08,CTR-SEO-021,동작구 가족센터,SEO,위촉,9.0,3,9,73.2,True,95.2,개인 정서·위기
CNS-SEO-00183,상담사 SEO-09,CTR-SEO-021,동작구 가족센터,SEO,위촉,2.3,3,6,68.8,False,96.0,부모-자녀 갈등
CNS-SEO-00184,상담사 SEO-01,CTR-SEO-022,관악구 가족센터,SEO,상근,3.7,6,12,68.0,False,96.4,개인 정서·위기
CNS-SEO-00185,상담사 SEO-02,CTR-SEO-022,관악구 가족센터,SEO,상근,6.1,6,10,72.0,False,88.5,부모-자녀 갈등
CNS-SEO-00186,상담사 SEO-03,CTR-SEO-022,관악구 가족센터,SEO,위촉,7.1,3,11,67.7,False,83.6,이혼 전후
CNS-SEO-00187,상담사 SEO-04,CTR-SEO-022,관악구 가족센터,SEO,위촉,7.3,3,11,96.2,False,72.0,부부갈등
