id,name,center_type,region_id,region_name,municipality,throughput_weight,demand_index,quality_score,opened_year,full_time_counselors,commissioned_counselors,counselor_count,active_clients
CTR-BUS-005,남구 가족센터,가족센터,BUS,부산광역시,남구,0.002971754864642846,0.893,83.4,2013,1,4,5,46
CTR-BUS-006,북구 가족센터,가족센터,BUS,부산광역시,북구,0.003980154556246756,1.196,88.9,2019,2,5,7,59
CTR-BUS-007,사상구 가족센터,가족센터,BUS,부산광역시,사상구,0.0035192513577300354,1.058,74.1,2013,2,5,7,61
CTR-BUS-008,사하구 가족센터,가족센터,BUS,부산광역시,사하구,0.0019540303952255097,0.68,87.0,2023,1,4,5,37
CTR-BUS-009,수영구 가족센터,가족센터,BUS,부산광역시,수영구,0.002858347253516774,0.859,78.8,2017,1,4,5,36
CTR-BUS-010,해운대구 가족센터,가족센터,BUS,부산광역시,해운대구,0.003916432699349863,1.177,85.0,2007,2,5,7,68
CTR-BUS-011,부산 건강가정지원센터 1,건강가정지원센터,BUS,부산광역시,부산,0.002834411191861068,0.852,73.5,2006,1,4,5,41
CTR-BUS-012,부산 다문화가족지원센터 2,다문화가족지원센터,BUS,부산광역시,부산,0.004779723456868799,1.436,84.1,2020,2,6,8,58
CTR-DGU-001,대구 가족센터,가족센터,DGU,대구광역시,대구,0.0047908305164487365,1.111,80.1,2022,2,6,8,63
CTR-DGU-002,중구 가족센터,가족센터,DGU,대구광역시,중구,0.004688493407984743,1.087,88.8,2021,2,6,8,67
CTR-DGU-003,동구 가족센터,가족센터,DGU,대구광역시,동구,0.0038243295204235072,0.887,85.3,2006,2,5,7,55
CTR-DGU-004,서구 가족센터,가족센터,DGU,대구광역시,서구,0.004175129376903461,0.968,85.3,2014,2,5,7,57
CTR-DGU-005,남구 가족센터,가족센터,DGU,대구광역시,남구,0.0039312347340272604,0.912,87.6,2021,2,5,7,57
CTR-DGU-006,북구 가족센터,가족센터,DGU,대구광역시,북구,0.004546952668697615,1.054,79.8,2015,2,6,8,69
CTR-DGU-007,수성구 가족센터,가족센터,DGU,대구광역시,수성구,0.004247558937331819,0.985,82.2,2019,2,6,8,73
CTR-DGU-008,달서구 가족센터,가족센터,DGU,대구광역시,달서구,0.0048857895485255026,1.133,81.0,2010,2,6,8,75
CTR-DGU-009,달성군 가족센터,가족센터,DGU,대구광역시,달성군,0.005410540807938741,1.255,87.7,2017,2,7,9,65
CTR-DGU-010,군위군 가족센터,가족센터,DGU,대구광역시,군위군,0.004597963260401812,1.066,82.4,2006,2,6,8,72
CTR-DGU-011,대구 다문화가족지원센터 1,다문화가족지원센터,DGU,대구광역시,대구,0.0052978967118997465,1.229,88.0,2018,2,6,8,58
CTR-INC-001,인천 가족센터,가족센터,INC,인천광역시,인천,0.003827892976469226,0.828,83.5,2022,2,5,7,64
CTR-INC-002,중구 가족센터,가족센터,INC,인천광역시,중구,0.0041059997307177605,0.888,83.1,2014,2,5,7,58
CTR-INC-003,동구 가족센터,가족센터,INC,인천광역시,동구,0.005400263994336726,1.168,81.0,2025,2,7,9,71
CTR-INC-004,미추홀구 가족센터,가족센터,INC,인천광역시,미추홀구,0.006266979443121954,1.356,78.3,2007,2,7,9,67
CTR-INC-005,연수구 가족센터,가족센터,INC,인천광역시,연수구,0.007229757280564206,1.48,74.5,2019,2,8,10,71
CTR-INC-006,남동구 가족센터,가족센터,INC,인천광역시,남동구,0.004418989603695002,0.956,83.6,2017,2,6,8,67
CTR-INC-007,부평구 가족센터,가족센터,INC,인천광역시,부평구,0.004537028414598428,0.982,76.2,2021,2,6,8,72
CTR-INC-008,계양구 가족센터,가족센터,INC,인천광역시,계양구,0.0032769149601257898,0.709,83.6,2010,2,5,7,65
CTR-INC-009,서구 가족센터,가족센터,INC,인천광역시,서구,0.0042499924101292485,0.919,82.1,2020,2,6,8,57
CTR-INC-010,강화군 가족센터,가족센터,INC,인천광역시,강화군,0.004911160221408392,1.063,79.3,2019,2,6,8,70
CTR-INC-011,인천 다문화가족지원센터 1,다문화가족지원센터,INC,인천광역시,인천,0.004962212743808067,1.074,85.9,2008,2,6,8,71
CTR-GWJ-001,광주 가족센터,가족센터,GWJ,광주광역시,광주,0.004084280316647564,0.922,86.3,2016,2,5,7,61
CTR-GWJ-002,동구 가족센터,가족센터,GWJ,광주광역시,동구,0.004872722175857642,1.1,78.8,2023,2,6,8,64
CTR-GWJ-003,서구 가족센터,가족센터,GWJ,광주광역시,서구,0.0043512089758084484,0.982,82.8,2024,2,6,8,80
CTR-GWJ-004,남구 가족센터,가족센터,GWJ,광주광역시,남구,0.004984356656936827,1.125,72.5,2013,2,6,8,79
CTR-GWJ-005,북구 가족센터,가족센터,GWJ,광주광역시,북구,0.004820566655341905,1.088,79.9,2011,2,6,8,62
CTR-DJN-001,대전 가족센터,가족센터,DJN,대전광역시,대전,0.004828149976062571,1.105,80.5,2020,2,6,8,69
CTR-DJN-002,동구 가족센터,가족센터,DJN,대전광역시,동구,0.00518470032572905,1.187,83.3,2020,2,6,8,63
CTR-DJN-003,서구 가족센터,가족센터,DJN,대전광역시,서구,0.0033796470303825593,0.774,77.9,2016,2,5,7,69
CTR-DJN-004,유성구 가족센터,가족센터,DJN,대전광역시,유성구,0.005282698871871749,1.209,84.4,2013,2,6,8,63
CTR-USN-001,울산 가족센터,가족센터,USN,울산광역시,울산,0.005116735093565715,1.277,74.7,2025,2,6,8,78
CTR-USN-002,중구 가족센터,가족센터,USN,울산광역시,중구,0.005503716885589061,1.373,80.4,2021,2,7,9,72
CTR-USN-003,남구 가족센터,가족센터,USN,울산광역시,남구,0.004739337873583379,1.183,81.2,2007,2,6,8,71
CTR-USN-004,동구 가족센터,가족센터,USN,울산광역시,동구,0.004658510751898744,1.163,85.0,2014,2,6,8,67
CTR-USN-005,울주군 가족센터,가족센터,USN,울산광역시,울주군,0.005620912878463943,1.403,78.2,2007,2,7,9,66
CTR-SEJ-001,세종 가족센터,가족센터,SEJ,세종특별자치시,세종,0.008345857554352663,0.835,83.5,2025,2,9,11,93
CTR-SEJ-002,조치원 가족센터,가족센터,SEJ,세종특별자치시,조치원,0.010645878461626774,1.066,81.2,2016,3,11,14,119
CTR-GYE-001,수원시 가족센터,가족센터,GYE,경기도,수원시,0.006676251709250866,1.031,88.0,2017,2,8,10,70
CTR-GYE-002,성남시 가족센터,가족센터,GYE,경기도,성남시,0.005692864408478533,0.879,71.5,2014,2,7,9,82
CTR-GYE-003,고양시 가족센터,가족센터,GYE,경기도,고양시,0.00690254709370549,1.066,80.0,2023,2,8,10,80
CTR-GYE-004,용인시 가족센터,가족센터,GYE,경기도,용인시,0.00841407549129406,1.299,90.2,2021,2,9,11,92
CTR-GYE-005,화성시 가족센터,가족센터,GYE,경기도,화성시,0.0060016118720848,0.927,77.8,2014,2,7,9,80
CTR-GYE-006,부천시 가족센터,가족센터,GYE,경기도,부천시,0.00502835121548343,0.776,82.5,2022,2,6,8,66
CTR-GYE-007,남양주시 가족센터,가족센터,GYE,경기도,남양주시,0.0055342328783407144,0.854,74.7,2017,2,7,9,74
CTR-GYE-008,안산시 가족센터,가족센터,GYE,경기도,안산시,0.006759719874519253,1.044,81.0,2007,2,8,10,81
CTR-GYE-009,평택시 가족센터,가족센터,GYE,경기도,평택시,0.008243983023812755,1.273,81.0,2015,2,9,11,79
CTR-GYE-010,안양시 가족센터,가족센터,GYE,경기도,안양시,0.005742514445362807,0.887,79.1,2021,2,7,9,82
CTR-GYE-011,시흥시 가족센터,가족센터,GYE,경기도,시흥시,0.005444082548493655,0.84,80.8,2015,2,7,9,69
CTR-GYE-012,파주시 가족센터,가족센터,GYE,경기도,파주시,0.006795577042092232,1.049,93.2,2007,2,8,10,73
CTR-GYE-013,김포시 가족센터,가족센터,GYE,경기도,김포시,0.008061874810935128,1.245,84.7,2009,2,9,11,83
CTR-GYE-014,의정부시 가족센터,가족센터,GYE,경기도,의정부시,0.006596752514372475,1.018,83.2,2019,2,8,10,83
CTR-GYE-015,광주시 가족센터,가족센터,GYE,경기도,광주시,0.006928341988518401,1.07,79.3,2014,2,8,10,79
CTR-GYE-016,하남시 가족센터,가족센터,GYE,경기도,하남시,0.008544534902507148,1.319,94,2015,2,9,11,91
CTR-GYE-017,광명시 가족센터,가족센터,GYE,경기도,광명시,0.006564091662666123,1.013,83.5,2013,2,7,9,84
CTR-GYE-018,군포시 가족센터,가족센터,GYE,경기도,군포시,0.005525186050527685,0.853,78.0,2015,2,7,9,66
CTR-GYE-019,양주시 가족센터,가족센터,GYE,경기도,양주시,0.006863416350800563,1.06,77.9,2022,2,8,10,83
CTR-GYE-020,오산시 가족센터,가족센터,GYE,경기도,오산시,0.006231902166842513,0.962,75.3,2011,2,7,9,74
CTR-GYE-021,이천시 가족센터,가족센터,GYE,경기도,이천시,0.006911612505514759,1.067,85.9,2016,2,8,10,81
CTR-GYE-022,안성시 가족센터,가족센터,GYE,경기도,안성시,0.007553092143669385,1.166,87.2,2013,2,8,10,71
CTR-GYE-023,구리시 가족센터,가족센터,GYE,경기도,구리시,0.0068706656570127755,1.061,81.7,2017,2,8,10,78
CTR-GYE-024,의왕시 가족센터,가족센터,GYE,경기도,의왕시,0.006837726244822932,1.056,82.4,2011,2,8,10,67
CTR-GYE-025,포천시 가족센터,가족센터,GYE,경기도,포천시,0.006727879804420115,1.039,87.7,2007,2,8,10,74
CTR-GYE-026,여주시 가족센터,가족센터,GYE,경기도,여주시,0.007072112587123727,1.092,86.5,2009,2,8,10,71
CTR-GYE-027,동두천시 가족센터,가족센터,GYE,경기도,동두천시,0.007736748486709898,1.194,78.8,2021,2,8,10,88
CTR-GYE-028,양평군 가족센터,가족센터,GYE,경기도,양평군,0.0047540092820153755,0.734,84.3,2009,2,6,8,66
CTR-GYE-029,가평군 가족센터,가족센터,GYE,경기도,가평군,0.009364643349107438,1.446,85.3,2020,2,10,12,77
CTR-GYE-030,경기 건강가정지원센터 1,건강가정지원센터,GYE,경기도,경기,0.006397277248908423,0.988,90.3,2021,2,7,9,60
CTR-GYE-031,경기 다문화가족지원센터 2,다문화가족지원센터,GYE,경기도,경기,0.00636679588059943,0.983,86.2,2020,2,7,9,68
CTR-GYE-032,경기 다문화가족지원센터 3,다문화가족지원센터,GYE,경기도,경기,0.009760265115854233,1.48,80.2,2016,3,10,13,112
CTR-GAN-001,춘천시 가족센터,가족센터,GAN,강원특별자치도,춘천시,0.0020910446809071313,1.059,82.1,2022,1,4,5,36
CTR-GAN-002,원주시 가족센터,가족센터,GAN,강원특별자치도,원주시,0.00221027301021429,1.119,87.9,2014,1,4,5,49
CTR-GAN-003,강릉시 가족센터,가족센터,GAN,강원특별자치도,강릉시,0.0017575459484299209,0.89,85.6,2014,1,3,4,35
CTR-GAN-004,동해시 가족센터,가족센터,GAN,강원특별자치도,동해시,0.0018354078978276222,0.93,81.5,2010,1,4,5,39
CTR-GAN-005,태백시 가족센터,가족센터,GAN,강원특별자치도,태백시,0.001804687837491931,0.914,91.7,2021,1,4,5,44
CTR-GAN-006,속초시 가족센터,가족센터,GAN,강원특별자치도,속초시,0.0025729363013651933,1.303,83.1,2017,1,4,5,42
CTR-GAN-007,삼척시 가족센터,가족센터,GAN,강원특별자치도,삼척시,0.0017303350829559535,0.876,89.9,2018,1,3,4,32
CTR-GAN-008,홍천군 가족센터,가족센터,GAN,강원특별자치도,홍천군,0.002024253748591397,1.025,82.0,2009,1,4,5,41
CTR-GAN-009,횡성군 가족센터,가족센터,GAN,강원특별자치도,횡성군,0.0019975634468324464,1.012,86.9,2016,1,4,5,40
CTR-GAN-010,영월군 가족센터,가족센터,GAN,강원특별자치도,영월군,0.0015900578722751663,0.805,82.5,2018,1,3,4,35
CTR-GAN-011,평창군 가족센터,가족센터,GAN,강원특별자치도,평창군,0.0023674421639794563,1.199,89.1,2022,1,4,5,45
CTR-GAN-012,정선군 가족센터,가족센터,GAN,강원특별자치도,정선군,0.00159502770028543,0.808,82.1,2010,1,3,4,35
CTR-GAN-013,철원군 가족센터,가족센터,GAN,강원특별자치도,철원군,0.0017000964781471934,0.861,85.2,2012,1,3,4,37
CTR-GAN-014,화천군 가족센터,가족센터,GAN,강원특별자치도,화천군,0.0019532064796238956,0.989,82.4,2020,1,4,5,45
CTR-GAN-015,양구군 가족센터,가족센터,GAN,강원특별자치도,양구군,0.002332379014711978,1.181,84.9,2011,1,4,5,34
CTR-GAN-016,인제군 가족센터,가족센터,GAN,강원특별자치도,인제군,0.0015832846933733849,0.802,87.5,2009,1,3,4,47
CTR-GAN-017,고성군 가족센터,가족센터,GAN,강원특별자치도,고성군,0.0021547837900226046,1.091,79.6,2021,1,4,5,37
CTR-GAN-018,양양군 가족센터,가족센터,GAN,강원특별자치도,양양군,0.0025164849871418572,1.274,77.1,2009,1,4,5,39
CTR-GAN-019,강원 건강가정지원센터 1,건강가정지원센터,GAN,강원특별자치도,강원,0.0019534353767073206,0.989,76.9,2008,1,4,5,49
CTR-CBK-001,청주시 가족센터,가족센터,CBK,충청북도,청주시,0.0021630334803987438,0.764,78.7,2014,1,4,5,37
CTR-CBK-002,충주시 가족센터,가족센터,CBK,충청북도,충주시,0.0028774910989740675,1.016,91.3,2017,1,4,5,33
CTR-CBK-003,제천시 가족센터,가족센터,CBK,충청북도,제천시,0.0025476974170795218,0.9,77.6,2009,1,4,5,46
CTR-CBK-004,보은군 가족센터,가족센터,CBK,충청북도,보은군,0.0027499505634849867,0.971,87.8,2012,1,4,5,35
CTR-CBK-005,옥천군 가족센터,가족센터,CBK,충청북도,옥천군,0.0024965901357148763,0.882,82.5,2014,1,4,5,30
CTR-CBK-006,영동군 가족센터,가족센터,CBK,충청북도,영동군,0.0024527455818790112,0.866,93.7,2020,1,4,5,38
CTR-CBK-007,증평군 가족센터,가족센터,CBK,충청북도,증평군,0.002762536034967348,0.976,79.2,2014,1,4,5,36
CTR-CBK-008,진천군 가족센터,가족센터,CBK,충청북도,진천군,0.002516298741422199,0.889,81.9,2020,1,4,5,37
CTR-CBK-009,괴산군 가족센터,가족센터,CBK,충청북도,괴산군,0.0028418762498330224,1.004,82.0,2020,1,4,5,43
CTR-CBK-010,음성군 가족센터,가족센터,CBK,충청북도,음성군,0.002576778323513696,0.91,77.9,2012,1,4,5,38
CTR-CBK-011,단양군 가족센터,가족센터,CBK,충청북도,단양군,0.0024417044766934107,0.862,87.1,2013,1,4,5,39
CTR-CNM-001,천안시 가족센터,가족센터,CNM,충청남도,천안시,0.003228484179163174,0.995,85.5,2019,2,5,7,64
CTR-CNM-002,공주시 가족센터,가족센터,CNM,충청남도,공주시,0.0038570785344268057,1.189,86.4,2017,2,5,7,57
CTR-CNM-003,보령시 가족센터,가족센터,CNM,충청남도,보령시,0.004467333868387507,1.377,83.2,2011,2,6,8,67
CTR-CNM-004,아산시 가족센터,가족센터,CNM,충청남도,아산시,0.0041108731068178455,1.267,81.3,2006,2,5,7,54
CTR-CNM-005,서산시 가족센터,가족센터,CNM,충청남도,서산시,0.0023669259666019137,0.73,79.1,2011,1,4,5,43
CTR-CNM-006,논산시 가족센터,가족센터,CNM,충청남도,논산시,0.0034291347100831172,1.057,83.0,2006,2,5,7,62
CTR-CNM-007,계룡시 가족센터,가족센터,CNM,충청남도,계룡시,0.0034837561829055784,1.074,86.1,2014,2,5,7,63
CTR-CNM-008,당진시 가족센터,가족센터,CNM,충청남도,당진시,0.0029787875316101965,0.918,80.7,2014,1,4,5,44
CTR-CNM-009,금산군 가족센터,가족센터,CNM,충청남도,금산군,0.0026853826536943387,0.828,85.3,2024,1,4,5,38
CTR-CNM-010,부여군 가족센터,가족센터,CNM,충청남도,부여군,0.003305324513191351,1.019,81.8,2007,2,5,7,72
CTR-CNM-011,서천군 가족센터,가족센터,CNM,충청남도,서천군,0.003636623020314256,1.121,84.0,2017,2,5,7,68
CTR-CNM-012,청양군 가족센터,가족센터,CNM,충청남도,청양군,0.003591640621053997,1.107,90.5,2010,2,5,7,45
CTR-CNM-013,홍성군 가족센터,가족센터,CNM,충청남도,홍성군,0.0025417197744759513,0.784,92.8,2009,1,4,5,36
CTR-CNM-014,예산군 가족센터,가족센터,CNM,충청남도,예산군,0.0028751051550783987,0.886,89.9,2024,1,4,5,44
CTR-CNM-015,충남 다문화가족지원센터 1,다문화가족지원센터,CNM,충청남도,충남,0.0029176954025146805,0.899,74.9,2020,1,4,5,47
CTR-JBK-001,전주시 가족센터,가족센터,JBK,전북특별자치도,전주시,0.0028259823135008957,0.989,76.1,2019,1,4,5,48
CTR-JBK-002,군산시 가족센터,가족센터,JBK,전북특별자치도,군산시,0.0024886371919032864,0.871,87.7,2019,1,4,5,35
CTR-JBK-003,익산시 가족센터,가족센터,JBK,전북특별자치도,익산시,0.0034051811067835128,1.192,84.6,2010,2,5,7,67
CTR-JBK-004,정읍시 가족센터,가족센터,JBK,전북특별자치도,정읍시,0.002879938411509829,1.008,79.2,2008,1,4,5,30
CTR-JBK-005,남원시 가족센터,가족센터,JBK,전북특별자치도,남원시,0.0028031665455879287,0.981,92.0,2012,1,4,5,41
CTR-JBK-006,김제시 가족센터,가족센터,JBK,전북특별자치도,김제시,0.003021792889585327,1.058,86.8,2024,1,5,6,52
CTR-JBK-007,완주군 가족센터,가족센터,JBK,전북특별자치도,완주군,0.002424302857558165,0.849,85.8,2018,1,4,5,41
CTR-JBK-008,진안군 가족센터,가족센터,JBK,전북특별자치도,진안군,0.0027577346836616863,0.965,83.0,2025,1,4,5,36
CTR-JBK-009,무주군 가족센터,가족센터,JBK,전북특별자치도,무주군,0.0043193922312390115,1.48,81.1,2008,2,6,8,77
CTR-JBK-010,장수군 가족센터,가족센터,JBK,전북특별자치도,장수군,0.003001062853286315,1.051,82.2,2012,1,5,6,44
CTR-JBK-011,임실군 가족센터,가족센터,JBK,전북특별자치도,임실군,0.0022326965576415637,0.782,75.4,2012,1,4,5,43
CTR-JBK-012,순창군 가족센터,가족센터,JBK,전북특별자치도,순창군,0.0038739347932272693,1.356,83.0,2006,2,5,7,54
CTR-JBK-013,고창군 가족센터,가족센터,JBK,전북특별자치도,고창군,0.0023818597581203933,0.834,91.8,2023,1,4,5,34
CTR-JBK-014,전북 건강가정지원센터 1,건강가정지원센터,JBK,전북특별자치도,전북,0.0029197729059081564,1.022,88.2,2019,1,4,5,46
CTR-JBK-015,전북 다문화가족지원센터 2,다문화가족지원센터,JBK,전북특별자치도,전북,0.004493270123611465,1.48,83.9,2012,2,6,8,78
CTR-JNM-001,목포시 가족센터,가족센터,JNM,전라남도,목포시,0.0037884682229169953,1.356,85.4,2014,2,5,7,54
CTR-JNM-002,여수시 가족센터,가족센터,JNM,전라남도,여수시,0.0026807791629653087,0.959,90.5,2012,1,4,5,47
CTR-JNM-003,순천시 가족센터,가족센터,JNM,전라남도,순천시,0.0024644694744381003,0.882,81.1,2022,1,4,5,35
CTR-JNM-004,나주시 가족센터,가족센터,JNM,전라남도,나주시,0.0028574417184372264,1.023,81.7,2010,1,4,5,45
CTR-JNM-005,광양시 가족센터,가족센터,JNM,전라남도,광양시,0.0029780487633553976,1.066,73.0,2019,1,4,5,37
CTR-JNM-006,담양군 가족센터,가족센터,JNM,전라남도,담양군,0.00266707952427393,0.954,87.0,2022,1,4,5,45
CTR-JNM-007,곡성군 가족센터,가족센터,JNM,전라남도,곡성군,0.0032022364793270713,1.146,75.4,2025,2,5,7,59
CTR-JNM-008,구례군 가족센터,가족센터,JNM,전라남도,구례군,0.0033035799955278113,1.182,85.7,2023,2,5,7,44
CTR-JNM-009,고흥군 가족센터,가족센터,JNM,전라남도,고흥군,0.002591355202030455,0.927,83.2,2014,1,4,5,33
CTR-JNM-010,보성군 가족센터,가족센터,JNM,전라남도,보성군,0.003128575115053456,1.12,84.0,2012,2,5,7,52
CTR-JNM-011,화순군 가족센터,가족센터,JNM,전라남도,화순군,0.003543217365960724,1.268,82.4,2024,2,5,7,57
CTR-JNM-012,장흥군 가족센터,가족센터,JNM,전라남도,장흥군,0.0028876046719221,1.033,90.0,2014,1,4,5,45
CTR-JNM-013,강진군 가족센터,가족센터,JNM,전라남도,강진군,0.0024007233603233077,0.859,75.9,2025,1,4,5,42
CTR-JNM-014,해남군 가족센터,가족센터,JNM,전라남도,해남군,0.003494514335613234,1.251,81.9,2011,2,5,7,63
CTR-JNM-015,영암군 가족센터,가족센터,JNM,전라남도,영암군,0.002615037881002699,0.936,77.1,2021,1,4,5,43
CTR-JNM-016,무안군 가족센터,가족센터,JNM,전라남도,무안군,0.0020657630930341238,0.739,72.9,2006,1,4,5,35
CTR-JNM-017,함평군 가족센터,가족센터,JNM,전라남도,함평군,0.002850273665325402,1.02,80.8,2014,1,4,5,45
CTR-JNM-018,영광군 가족센터,가족센터,JNM,전라남도,영광군,0.0027881878467206074,0.998,88.5,2006,1,4,5,36
CTR-JNM-019,장성군 가족센터,가족센터,JNM,전라남도,장성군,0.0024214427679456144,0.867,83.7,2007,1,4,5,39
CTR-JNM-020,완도군 가족센터,가족센터,JNM,전라남도,완도군,0.004492158531963513,1.48,84.5,2010,2,6,8,78
CTR-JNM-021,진도군 가족센터,가족센터,JNM,전라남도,진도군,0.0030868877328491928,1.105,78.4,2012,2,5,7,53
CTR-JNM-022,신안군 가족센터,가족센터,JNM,전라남도,신안군,0.002776858899400354,0.994,85.3,2015,1,4,5,41
CTR-JNM-023,전남 다문화가족지원센터 1,다문화가족지원센터,JNM,전라남도,전남,0.00291441633079242,1.043,81.8,2014,1,4,5,45
CTR-GBK-001,포항시 가족센터,가족센터,GBK,경상북도,포항시,0.0029389700297609953,0.891,85.1,2014,1,4,5,43
CTR-GBK-002,경주시 가족센터,가족센터,GBK,경상북도,경주시,0.003475528337258747,1.054,80.4,2025,2,5,7,58
CTR-GBK-003,김천시 가족센터,가족센터,GBK,경상북도,김천시,0.003173243551536182,0.962,72.6,2016,2,5,7,59
CTR-GBK-004,안동시 가족센터,가족센터,GBK,경상북도,안동시,0.004091571284257108,1.24,74.5,2017,2,5,7,47
CTR-GBK-005,구미시 가족센터,가족센터,GBK,경상북도,구미시,0.004718468782615772,1.431,81.0,2016,2,6,8,59
CTR-GBK-006,영주시 가족센터,가족센터,GBK,경상북도,영주시,0.0031480035762762523,0.954,92.2,2022,2,5,7,51
CTR-GBK-007,영천시 가족센터,가족센터,GBK,경상북도,영천시,0.0031117741286430644,0.943,88.4,2012,2,5,7,57
CTR-GBK-008,상주시 가족센터,가족센터,GBK,경상북도,상주시,0.004334759192495261,1.314,84.3,2016,2,6,8,56
CTR-GBK-009,문경시 가족센터,가족센터,GBK,경상북도,문경시,0.003100348454364693,0.94,85.7,2010,2,5,7,51
CTR-GBK-010,경산시 가족센터,가족센터,GBK,경상북도,경산시,0.002257614720070571,0.684,94,2022,1,4,5,37
CTR-GBK-011,의성군 가족센터,가족센터,GBK,경상북도,의성군,0.0031514227077659627,0.955,76.6,2022,2,5,7,63
CTR-GBK-012,청송군 가족센터,가족센터,GBK,경상북도,청송군,0.0033842089558442294,1.026,92.1,2018,2,5,7,54
