counselor_id,center_id,region_id,issue,client_count,standard_count,monitor_count,priority_review_count
CNS-SEO-00030,CTR-SEO-004,SEO,부부갈등,3,2,1,0
CNS-SEO-00030,CTR-SEO-004,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00030,CTR-SEO-004,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00030,CTR-SEO-004,SEO,이혼 전후,1,1,0,0
CNS-SEO-00031,CTR-SEO-004,SEO,부부갈등,4,3,1,0
CNS-SEO-00031,CTR-SEO-004,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00031,CTR-SEO-004,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00031,CTR-SEO-004,SEO,이혼 전후,1,1,0,0
CNS-SEO-00032,CTR-SEO-004,SEO,부부갈등,3,3,0,0
CNS-SEO-00032,CTR-SEO-004,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00032,CTR-SEO-004,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00032,CTR-SEO-004,SEO,이혼 전후,1,1,0,0
CNS-SEO-00033,CTR-SEO-004,SEO,부부갈등,2,2,0,0
CNS-SEO-00033,CTR-SEO-004,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00033,CTR-SEO-004,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00034,CTR-SEO-004,SEO,부부갈등,3,2,1,0
CNS-SEO-00034,CTR-SEO-004,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00034,CTR-SEO-004,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00034,CTR-SEO-004,SEO,이혼 전후,1,1,0,0
CNS-SEO-00035,CTR-SEO-004,SEO,부부갈등,3,2,1,0
CNS-SEO-00035,CTR-SEO-004,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00035,CTR-SEO-004,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00036,CTR-SEO-004,SEO,부부갈등,3,2,1,0
CNS-SEO-00036,CTR-SEO-004,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00036,CTR-SEO-004,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00037,CTR-SEO-004,SEO,부부갈등,3,2,1,0
CNS-SEO-00037,CTR-SEO-004,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00037,CTR-SEO-004,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00037,CTR-SEO-004,SEO,이혼 전후,1,1,0,0
CNS-SEO-00038,CTR-SEO-005,SEO,부부갈등,5,4,1,0
CNS-SEO-00038,CTR-SEO-005,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00038,CTR-SEO-005,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00038,CTR-SEO-005,SEO,이혼 전후,1,1,0,0
CNS-SEO-00039,CTR-SEO-005,SEO,부부갈등,5,4,1,0
CNS-SEO-00039,CTR-SEO-005,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00039,CTR-SEO-005,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00039,CTR-SEO-005,SEO,이혼 전후,1,1,0,0
CNS-SEO-00040,CTR-SEO-005,SEO,부부갈등,3,3,0,0
CNS-SEO-00040,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00040,CTR-SEO-005,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00040,CTR-SEO-005,SEO,이혼 전후,1,1,0,0
CNS-SEO-00041,CTR-SEO-005,SEO,부부갈등,3,2,1,0
CNS-SEO-00041,CTR-SEO-005,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00041,CTR-SEO-005,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00041,CTR-SEO-005,SEO,이혼 전후,1,1,0,0
CNS-SEO-00042,CTR-SEO-005,SEO,부부갈등,2,2,0,0
CNS-SEO-00042,CTR-SEO-005,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00042,CTR-SEO-005,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00043,CTR-SEO-005,SEO,부부갈등,2,2,0,0
CNS-SEO-00043,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00043,CTR-SEO-005,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00044,CTR-SEO-005,SEO,부부갈등,3,3,0,0
CNS-SEO-00044,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00044,CTR-SEO-005,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00045,CTR-SEO-005,SEO,부부갈등,3,3,0,0
CNS-SEO-00045,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00045,CTR-SEO-005,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00045,CTR-SEO-005,SEO,이혼 전후,1,1,0,0
CNS-SEO-00046,CTR-SEO-005,SEO,부부갈등,3,2,1,0
CNS-SEO-00046,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00046,CTR-SEO-005,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00047,CTR-SEO-005,SEO,부부갈등,3,3,0,0
CNS-SEO-00047,CTR-SEO-005,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00047,CTR-SEO-005,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00048,CTR-SEO-006,SEO,부부갈등,4,3,1,0
CNS-SEO-00048,CTR-SEO-006,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00048,CTR-SEO-006,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00049,CTR-SEO-006,SEO,부부갈등,3,2,1,0
CNS-SEO-00049,CTR-SEO-006,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00049,CTR-SEO-006,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00050,CTR-SEO-006,SEO,부부갈등,1,1,0,0
CNS-SEO-00050,CTR-SEO-006,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00050,CTR-SEO-006,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00051,CTR-SEO-006,SEO,부부갈등,3,2,1,0
CNS-SEO-00051,CTR-SEO-006,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00051,CTR-SEO-006,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00052,CTR-SEO-006,SEO,부부갈등,3,2,1,0
CNS-SEO-00052,CTR-SEO-006,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00052,CTR-SEO-006,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00052,CTR-SEO-006,SEO,이혼 전후,1,1,0,0
CNS-SEO-00053,CTR-SEO-006,SEO,부부갈등,4,3,1,0
CNS-SEO-00053,CTR-SEO-006,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00053,CTR-SEO-006,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00053,CTR-SEO-006,SEO,이혼 전후,1,1,0,0
CNS-SEO-00054,CTR-SEO-006,SEO,부부갈등,3,3,0,0
CNS-SEO-00054,CTR-SEO-006,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00054,CTR-SEO-006,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00055,CTR-SEO-006,SEO,부부갈등,3,3,0,0
CNS-SEO-00055,CTR-SEO-006,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00055,CTR-SEO-006,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00056,CTR-SEO-006,SEO,부부갈등,2,2,0,0
CNS-SEO-00056,CTR-SEO-006,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00056,CTR-SEO-006,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00057,CTR-SEO-007,SEO,부부갈등,5,5,0,0
CNS-SEO-00057,CTR-SEO-007,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00057,CTR-SEO-007,SEO,기타 가족관계,5,4,1,0
CNS-SEO-00057,CTR-SEO-007,SEO,이혼 전후,1,1,0,0
CNS-SEO-00058,CTR-SEO-007,SEO,부부갈등,4,3,1,0
CNS-SEO-00058,CTR-SEO-007,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00058,CTR-SEO-007,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00059,CTR-SEO-007,SEO,부부갈등,2,2,0,0
CNS-SEO-00059,CTR-SEO-007,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00059,CTR-SEO-007,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00060,CTR-SEO-007,SEO,부부갈등,1,1,0,0
CNS-SEO-00060,CTR-SEO-007,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00060,CTR-SEO-007,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00061,CTR-SEO-007,SEO,부부갈등,3,2,1,0
CNS-SEO-00061,CTR-SEO-007,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00061,CTR-SEO-007,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00061,CTR-SEO-007,SEO,이혼 전후,1,1,0,0
CNS-SEO-00062,CTR-SEO-007,SEO,부부갈등,2,2,0,0
CNS-SEO-00062,CTR-SEO-007,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00062,CTR-SEO-007,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00063,CTR-SEO-007,SEO,부부갈등,3,3,0,0
CNS-SEO-00063,CTR-SEO-007,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00063,CTR-SEO-007,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00064,CTR-SEO-007,SEO,부부갈등,3,2,1,0
CNS-SEO-00064,CTR-SEO-007,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00064,CTR-SEO-007,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00064,CTR-SEO-007,SEO,이혼 전후,1,1,0,0
CNS-SEO-00065,CTR-SEO-008,SEO,부부갈등,5,4,1,0
CNS-SEO-00065,CTR-SEO-008,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00065,CTR-SEO-008,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00065,CTR-SEO-008,SEO,이혼 전후,1,1,0,0
CNS-SEO-00066,CTR-SEO-008,SEO,부부갈등,4,3,1,0
CNS-SEO-00066,CTR-SEO-008,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00066,CTR-SEO-008,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00066,CTR-SEO-008,SEO,이혼 전후,1,1,0,0
CNS-SEO-00067,CTR-SEO-008,SEO,부부갈등,3,2,1,0
CNS-SEO-00067,CTR-SEO-008,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00067,CTR-SEO-008,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00068,CTR-SEO-008,SEO,부부갈등,3,3,0,0
CNS-SEO-00068,CTR-SEO-008,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00068,CTR-SEO-008,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00068,CTR-SEO-008,SEO,이혼 전후,1,1,0,0
CNS-SEO-00069,CTR-SEO-008,SEO,부부갈등,5,4,1,0
CNS-SEO-00069,CTR-SEO-008,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00069,CTR-SEO-008,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00069,CTR-SEO-008,SEO,이혼 전후,1,1,0,0
CNS-SEO-00070,CTR-SEO-008,SEO,부부갈등,3,2,1,0
CNS-SEO-00070,CTR-SEO-008,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00070,CTR-SEO-008,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00071,CTR-SEO-008,SEO,부부갈등,3,3,0,0
CNS-SEO-00071,CTR-SEO-008,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00071,CTR-SEO-008,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00072,CTR-SEO-008,SEO,부부갈등,3,3,0,0
CNS-SEO-00072,CTR-SEO-008,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00072,CTR-SEO-008,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00073,CTR-SEO-009,SEO,부부갈등,3,2,1,0
CNS-SEO-00073,CTR-SEO-009,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00073,CTR-SEO-009,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00073,CTR-SEO-009,SEO,이혼 전후,1,1,0,0
CNS-SEO-00074,CTR-SEO-009,SEO,부부갈등,5,4,1,0
CNS-SEO-00074,CTR-SEO-009,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00074,CTR-SEO-009,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00074,CTR-SEO-009,SEO,이혼 전후,1,1,0,0
CNS-SEO-00075,CTR-SEO-009,SEO,부부갈등,3,2,1,0
CNS-SEO-00075,CTR-SEO-009,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00075,CTR-SEO-009,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00076,CTR-SEO-009,SEO,부부갈등,2,2,0,0
CNS-SEO-00076,CTR-SEO-009,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00076,CTR-SEO-009,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00077,CTR-SEO-009,SEO,부부갈등,3,3,0,0
CNS-SEO-00077,CTR-SEO-009,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00077,CTR-SEO-009,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00077,CTR-SEO-009,SEO,이혼 전후,1,1,0,0
CNS-SEO-00078,CTR-SEO-009,SEO,부부갈등,3,2,1,0
CNS-SEO-00078,CTR-SEO-009,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00078,CTR-SEO-009,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00079,CTR-SEO-009,SEO,부부갈등,2,2,0,0
CNS-SEO-00079,CTR-SEO-009,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00079,CTR-SEO-009,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00080,CTR-SEO-010,SEO,부부갈등,5,4,1,0
CNS-SEO-00080,CTR-SEO-010,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00080,CTR-SEO-010,SEO,기타 가족관계,5,4,1,0
CNS-SEO-00080,CTR-SEO-010,SEO,이혼 전후,1,1,0,0
CNS-SEO-00081,CTR-SEO-010,SEO,부부갈등,3,3,0,0
CNS-SEO-00081,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00081,CTR-SEO-010,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00082,CTR-SEO-010,SEO,부부갈등,3,2,1,0
CNS-SEO-00082,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00082,CTR-SEO-010,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00083,CTR-SEO-010,SEO,부부갈등,3,3,0,0
CNS-SEO-00083,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00083,CTR-SEO-010,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00084,CTR-SEO-010,SEO,부부갈등,3,2,1,0
CNS-SEO-00084,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00084,CTR-SEO-010,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00084,CTR-SEO-010,SEO,이혼 전후,1,1,0,0
CNS-SEO-00085,CTR-SEO-010,SEO,부부갈등,3,2,1,0
CNS-SEO-00085,CTR-SEO-010,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00085,CTR-SEO-010,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00086,CTR-SEO-010,SEO,부부갈등,3,3,0,0
CNS-SEO-00086,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00086,CTR-SEO-010,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00087,CTR-SEO-010,SEO,부부갈등,3,3,0,0
CNS-SEO-00087,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00087,CTR-SEO-010,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00088,CTR-SEO-010,SEO,부부갈등,3,3,0,0
CNS-SEO-00088,CTR-SEO-010,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00088,CTR-SEO-010,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00089,CTR-SEO-011,SEO,부부갈등,5,4,1,0
CNS-SEO-00089,CTR-SEO-011,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00089,CTR-SEO-011,SEO,기타 가족관계,5,4,1,0
CNS-SEO-00089,CTR-SEO-011,SEO,이혼 전후,1,1,0,0
CNS-SEO-00090,CTR-SEO-011,SEO,부부갈등,6,4,2,0
CNS-SEO-00090,CTR-SEO-011,SEO,부모-자녀 갈등,4,4,0,0
CNS-SEO-00090,CTR-SEO-011,SEO,기타 가족관계,5,4,1,0
CNS-SEO-00090,CTR-SEO-011,SEO,이혼 전후,1,1,0,0
CNS-SEO-00091,CTR-SEO-011,SEO,부부갈등,3,3,0,0
CNS-SEO-00091,CTR-SEO-011,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00091,CTR-SEO-011,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00092,CTR-SEO-011,SEO,부부갈등,3,2,1,0
CNS-SEO-00092,CTR-SEO-011,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00092,CTR-SEO-011,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00092,CTR-SEO-011,SEO,이혼 전후,1,1,0,0
CNS-SEO-00093,CTR-SEO-011,SEO,부부갈등,3,2,1,0
CNS-SEO-00093,CTR-SEO-011,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00093,CTR-SEO-011,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00093,CTR-SEO-011,SEO,이혼 전후,1,1,0,0
CNS-SEO-00094,CTR-SEO-011,SEO,부부갈등,3,2,1,0
CNS-SEO-00094,CTR-SEO-011,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00094,CTR-SEO-011,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00094,CTR-SEO-011,SEO,이혼 전후,1,1,0,0
CNS-SEO-00095,CTR-SEO-011,SEO,부부갈등,2,2,0,0
CNS-SEO-00095,CTR-SEO-011,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00095,CTR-SEO-011,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00096,CTR-SEO-011,SEO,부부갈등,3,2,1,0
CNS-SEO-00096,CTR-SEO-011,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00096,CTR-SEO-011,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00097,CTR-SEO-012,SEO,부부갈등,4,3,1,0
CNS-SEO-00097,CTR-SEO-012,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00097,CTR-SEO-012,SEO,기타 가족관계,4,4,0,0
CNS-SEO-00097,CTR-SEO-012,SEO,이혼 전후,1,1,0,0
CNS-SEO-00098,CTR-SEO-012,SEO,부부갈등,5,4,1,0
CNS-SEO-00098,CTR-SEO-012,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00098,CTR-SEO-012,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00098,CTR-SEO-012,SEO,이혼 전후,1,1,0,0
CNS-SEO-00099,CTR-SEO-012,SEO,부부갈등,3,2,1,0
CNS-SEO-00099,CTR-SEO-012,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00099,CTR-SEO-012,SEO,기타 가족관계,2,2,0,0
